millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX(uT),magY(uT),magZ(uT),ozone concentration,
79642,23.88029,95192,15.24590,87.27000,523.60620,-9.91346,-1.42852,0.12203,-0.07483,-0.02535,-0.02474,-36.83134,-3.39082,16.53025,20,
80989,23.89607,95191,15.21689,87.36100,523.69342,-10.02114,-1.70130,0.02154,0.01527,-0.06597,0.06170,-36.68518,-2.51388,18.34259,20,
82334,23.91247,95191,15.19286,87.90900,523.60620,-9.94218,-1.71565,-0.00718,-0.03360,-0.09102,0.01283,-37.48904,-2.03157,17.18796,20,
83678,23.93267,95192,15.17398,88.09300,523.69342,-9.72682,-1.31366,0.23689,-0.01069,-0.04581,0.00519,-37.28442,-1.85618,18.15259,20,
85025,23.95002,95191,15.15000,88.83800,523.60620,-9.86322,-1.61516,0.03589,-0.04062,-0.10629,0.10079,-37.25519,-1.94388,19.38030,20,
86370,23.96896,95192,15.12610,88.46400,523.60620,-9.79143,-1.45005,0.02871,0.06200,0.01405,0.02535,-37.21134,-2.80620,18.69337,20,
87716,23.98379,95193,15.11688,89.59500,523.60620,-10.38006,-1.37827,-0.05025,0.45754,0.26664,-0.08460,-36.34902,-4.35545,9.88015,20,
89063,23.99925,95191,15.09282,90.07500,523.69342,-9.29612,-1.67258,3.07956,0.00794,-0.01222,0.03543,-35.55978,-2.16311,-1.78310,20,
90416,24.00871,95191,15.07345,89.97900,523.69342,-9.54736,-1.67258,2.78525,0.03360,0.02077,-0.01161,-35.60363,-2.64543,-1.47618,20,
91812,24.00492,95191,15.04852,90.07500,523.69342,-9.81297,-1.96690,1.33520,-0.00855,-0.08308,0.04734,-38.48290,-0.76001,8.21397,20,
93158,24.02733,95191,15.01984,90.95300,523.69342,-9.67657,-2.31865,1.05523,-0.07880,-0.13928,0.01313,-38.58521,0.97925,10.74247,20,
94504,24.05510,95191,15.01122,90.85400,523.69342,-9.65504,-2.52682,1.03370,0.00183,-0.02352,0.01191,-38.95060,1.24233,10.08477,20,
95853,24.07687,95192,14.99242,91.64700,523.69342,-9.69811,-2.52682,1.15573,-0.01741,-0.02352,0.02810,-39.40368,1.73926,9.89477,20,
